Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	17.6	0	11	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	InInterests	17.6	0.240625	11	0.150391
0.5	0	256	netdev://[00:00:00:00:00:01]	OutInterests	75.2	1.02812	47	0.642578
0.5	0	256	netdev://[00:00:00:00:00:01]	InData	64	65.6875	40	41.0547
0.5	0	256	netdev://[00:00:00:00:00:01]	OutData	16	16.4219	10	10.2637
0.5	0	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	1.6	0	1	0
0.5	0	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	56	0	35	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	InInterests	16	0.21875	10	0.136719
0.5	0	257	netdev://[00:00:00:00:00:05]	OutInterests	4.8	0.065625	3	0.0410156
0.5	0	257	netdev://[00:00:00:00:00:05]	InData	4.8	4.92656	3	3.0791
0.5	0	257	netdev://[00:00:00:00:00:05]	OutData	14.4	14.7797	9	9.2373
0.5	0	257	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	14.4	0	9	0
0.5	0	257	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	3.2	0	2	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
0.5	0	258	internal://	InInterests	0	0	0	0
0.5	0	258	internal://	OutInterests	0	0	0	0
0.5	0	258	internal://	InData	0	0	0	0
0.5	0	258	internal://	OutData	0	0	0	0
0.5	0	258	internal://	InNacks	0	0	0	0
0.5	0	258	internal://	OutNacks	0	0	0	0
0.5	0	258	internal://	InSatisfiedInterests	17.6	0	11	0
0.5	0	258	internal://	InTimedOutInterests	0	0	0	0
0.5	0	258	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	260	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	0	260	appFace://	OutInterests	0	0	0	0
0.5	0	260	appFace://	InData	0	0	0	0
0.5	0	260	appFace://	OutData	9.6	9.85313	6	6.1582
0.5	0	260	appFace://	InNacks	0	0	0	0
0.5	0	260	appFace://	OutNacks	68.8	0	43	0
0.5	0	260	appFace://	InSatisfiedInterests	9.6	0	6	0
0.5	0	260	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	260	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	260	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	261	appFace://	InInterests	80	0.175	50	0.109375
0.5	0	261	appFace://	OutInterests	0	0	0	0
0.5	0	261	appFace://	InData	0	0	0	0
0.5	0	261	appFace://	OutData	20.8	21.3484	13	13.3428
0.5	0	261	appFace://	InNacks	0	0	0	0
0.5	0	261	appFace://	OutNacks	56	0	35	0
0.5	0	261	appFace://	InSatisfiedInterests	19.2	0	12	0
0.5	0	261	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	261	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	261	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	262	appFace://	InInterests	80	0.0875	50	0.0546875
0.5	0	262	appFace://	OutInterests	0	0	0	0
0.5	0	262	appFace://	InData	0	0	0	0
0.5	0	262	appFace://	OutData	11.2	11.4953	7	7.18457
0.5	0	262	appFace://	InNacks	0	0	0	0
0.5	0	262	appFace://	OutNacks	67.2	0	42	0
0.5	0	262	appFace://	InSatisfiedInterests	8	0	5	0
0.5	0	262	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	262	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	262	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	263	appFace://	InInterests	80	0.153125	50	0.0957031
0.5	0	263	appFace://	OutInterests	0	0	0	0
0.5	0	263	appFace://	InData	0	0	0	0
0.5	0	263	appFace://	OutData	19.2	19.7063	12	12.3164
0.5	0	263	appFace://	InNacks	0	0	0	0
0.5	0	263	appFace://	OutNacks	57.6	0	36	0
0.5	0	263	appFace://	InSatisfiedInterests	14.4	0	9	0
0.5	0	263	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	263	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	263	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	264	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	0	264	appFace://	OutInterests	0	0	0	0
0.5	0	264	appFace://	InData	0	0	0	0
0.5	0	264	appFace://	OutData	11.2	11.4953	7	7.18457
0.5	0	264	appFace://	InNacks	0	0	0	0
0.5	0	264	appFace://	OutNacks	67.2	0	42	0
0.5	0	264	appFace://	InSatisfiedInterests	9.6	0	6	0
0.5	0	264	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	264	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	264	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	265	appFace://	InInterests	80	0.065625	50	0.0410156
0.5	0	265	appFace://	OutInterests	0	0	0	0
0.5	0	265	appFace://	InData	0	0	0	0
0.5	0	265	appFace://	OutData	19.2	19.7063	12	12.3164
0.5	0	265	appFace://	InNacks	0	0	0	0
0.5	0	265	appFace://	OutNacks	60.8	0	38	0
0.5	0	265	appFace://	InSatisfiedInterests	11.2	0	7	0
0.5	0	265	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	265	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	265	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	266	appFace://	InInterests	80	0.04375	50	0.0273438
0.5	0	266	appFace://	OutInterests	0	0	0	0
0.5	0	266	appFace://	InData	0	0	0	0
0.5	0	266	appFace://	OutData	12.8	13.1375	8	8.21094
0.5	0	266	appFace://	InNacks	0	0	0	0
0.5	0	266	appFace://	OutNacks	67.2	0	42	0
0.5	0	266	appFace://	InSatisfiedInterests	8	0	5	0
0.5	0	266	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	266	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	266	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	267	appFace://	InInterests	80	0.153125	50	0.0957031
0.5	0	267	appFace://	OutInterests	0	0	0	0
0.5	0	267	appFace://	InData	0	0	0	0
0.5	0	267	appFace://	OutData	24	24.6328	15	15.3955
0.5	0	267	appFace://	InNacks	0	0	0	0
0.5	0	267	appFace://	OutNacks	52.8	0	33	0
0.5	0	267	appFace://	InSatisfiedInterests	11.2	0	7	0
0.5	0	267	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	267	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	267	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	268	appFace://	InInterests	80	0.0875	50	0.0546875
0.5	0	268	appFace://	OutInterests	0	0	0	0
0.5	0	268	appFace://	InData	0	0	0	0
0.5	0	268	appFace://	OutData	17.6	18.0641	11	11.29
0.5	0	268	appFace://	InNacks	0	0	0	0
0.5	0	268	appFace://	OutNacks	60.8	0	38	0
0.5	0	268	appFace://	InSatisfiedInterests	11.2	0	7	0
0.5	0	268	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	268	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	268	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	174.4	0	109	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InNacks	0	0	0	0
0.5	1	1	internal://	OutNacks	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	17.6	0	11	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	InInterests	75.2	1.02812	47	0.642578
0.5	1	256	netdev://[00:00:00:00:00:02]	OutInterests	17.6	0.240625	11	0.150391
0.5	1	256	netdev://[00:00:00:00:00:02]	InData	16	16.4219	10	10.2637
0.5	1	256	netdev://[00:00:00:00:00:02]	OutData	65.6	67.3297	41	42.0811
0.5	1	256	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	64	0	40	0
0.5	1	256	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	12.8	0	8	0
0.5	1	256	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InInterests	56	0.765625	35	0.478516
0.5	1	257	netdev://[00:00:00:00:00:03]	OutInterests	36.8	0.503125	23	0.314453
0.5	1	257	netdev://[00:00:00:00:00:03]	InData	36.8	37.7703	23	23.6064
0.5	1	257	netdev://[00:00:00:00:00:03]	OutData	44.8	45.9813	28	28.7383
0.5	1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	41.6	0	26	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	33.6	0	21	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	InInterests	44.8	0.6125	28	0.382812
0.5	1	258	netdev://[00:00:00:00:00:09]	OutInterests	51.2	0.7	32	0.4375
0.5	1	258	netdev://[00:00:00:00:00:09]	InData	41.6	42.6969	26	26.6855
0.5	1	258	netdev://[00:00:00:00:00:09]	OutData	43.2	44.3391	27	27.7119
0.5	1	258	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	43.2	0	27	0
0.5	1	258	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	33.6	0	21	0
0.5	1	258	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
0.5	1	259	internal://	InInterests	0	0	0	0
0.5	1	259	internal://	OutInterests	0	0	0	0
0.5	1	259	internal://	InData	0	0	0	0
0.5	1	259	internal://	OutData	0	0	0	0
0.5	1	259	internal://	InNacks	0	0	0	0
0.5	1	259	internal://	OutNacks	0	0	0	0
0.5	1	259	internal://	InSatisfiedInterests	17.6	0	11	0
0.5	1	259	internal://	InTimedOutInterests	0	0	0	0
0.5	1	259	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	259	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	260	appFace://	InInterests	0	0	0	0
0.5	1	260	appFace://	OutInterests	99.2	0.853125	62	0.533203
0.5	1	260	appFace://	InData	99.2	101.816	62	63.6348
0.5	1	260	appFace://	OutData	0	0	0	0
0.5	1	260	appFace://	InNacks	0	0	0	0
0.5	1	260	appFace://	OutNacks	0	0	0	0
0.5	1	260	appFace://	InSatisfiedInterests	0	0	0	0
0.5	1	260	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	260	appFace://	OutSatisfiedInterests	99.2	0	62	0
0.5	1	260	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	261	appFace://	InInterests	80	0.13125	50	0.0820312
0.5	1	261	appFace://	OutInterests	0	0	0	0
0.5	1	261	appFace://	InData	0	0	0	0
0.5	1	261	appFace://	OutData	17.6	18.0641	11	11.29
0.5	1	261	appFace://	InNacks	0	0	0	0
0.5	1	261	appFace://	OutNacks	59.2	0	37	0
0.5	1	261	appFace://	InSatisfiedInterests	16	0	10	0
0.5	1	261	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	261	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	261	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	262	appFace://	InInterests	80	0.065625	50	0.0410156
0.5	1	262	appFace://	OutInterests	0	0	0	0
0.5	1	262	appFace://	InData	0	0	0	0
0.5	1	262	appFace://	OutData	16	16.4219	10	10.2637
0.5	1	262	appFace://	InNacks	0	0	0	0
0.5	1	262	appFace://	OutNacks	64	0	40	0
0.5	1	262	appFace://	InSatisfiedInterests	16	0	10	0
0.5	1	262	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	262	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	262	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	263	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	1	263	appFace://	OutInterests	0	0	0	0
0.5	1	263	appFace://	InData	0	0	0	0
0.5	1	263	appFace://	OutData	16	16.4219	10	10.2637
0.5	1	263	appFace://	InNacks	0	0	0	0
0.5	1	263	appFace://	OutNacks	64	0	40	0
0.5	1	263	appFace://	InSatisfiedInterests	14.4	0	9	0
0.5	1	263	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	263	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	263	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	264	appFace://	InInterests	80	0.021875	50	0.0136719
0.5	1	264	appFace://	OutInterests	0	0	0	0
0.5	1	264	appFace://	InData	0	0	0	0
0.5	1	264	appFace://	OutData	24	24.6328	15	15.3955
0.5	1	264	appFace://	InNacks	0	0	0	0
0.5	1	264	appFace://	OutNacks	56	0	35	0
0.5	1	264	appFace://	InSatisfiedInterests	17.6	0	11	0
0.5	1	264	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	264	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	264	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	265	appFace://	InInterests	80	0.04375	50	0.0273438
0.5	1	265	appFace://	OutInterests	0	0	0	0
0.5	1	265	appFace://	InData	0	0	0	0
0.5	1	265	appFace://	OutData	11.2	11.4953	7	7.18457
0.5	1	265	appFace://	InNacks	0	0	0	0
0.5	1	265	appFace://	OutNacks	68.8	0	43	0
0.5	1	265	appFace://	InSatisfiedInterests	8	0	5	0
0.5	1	265	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	265	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	265	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	266	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	1	266	appFace://	OutInterests	0	0	0	0
0.5	1	266	appFace://	InData	0	0	0	0
0.5	1	266	appFace://	OutData	20.8	21.3484	13	13.3428
0.5	1	266	appFace://	InNacks	0	0	0	0
0.5	1	266	appFace://	OutNacks	59.2	0	37	0
0.5	1	266	appFace://	InSatisfiedInterests	17.6	0	11	0
0.5	1	266	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	266	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	266	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	267	appFace://	InInterests	80	0.0875	50	0.0546875
0.5	1	267	appFace://	OutInterests	0	0	0	0
0.5	1	267	appFace://	InData	0	0	0	0
0.5	1	267	appFace://	OutData	14.4	14.7797	9	9.2373
0.5	1	267	appFace://	InNacks	0	0	0	0
0.5	1	267	appFace://	OutNacks	65.6	0	41	0
0.5	1	267	appFace://	InSatisfiedInterests	12.8	0	8	0
0.5	1	267	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	267	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	267	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	268	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	1	268	appFace://	OutInterests	0	0	0	0
0.5	1	268	appFace://	InData	0	0	0	0
0.5	1	268	appFace://	OutData	19.2	19.7063	12	12.3164
0.5	1	268	appFace://	InNacks	0	0	0	0
0.5	1	268	appFace://	OutNacks	60.8	0	38	0
0.5	1	268	appFace://	InSatisfiedInterests	19.2	0	12	0
0.5	1	268	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	268	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	268	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	269	appFace://	InInterests	80	0.04375	50	0.0273438
0.5	1	269	appFace://	OutInterests	0	0	0	0
0.5	1	269	appFace://	InData	0	0	0	0
0.5	1	269	appFace://	OutData	17.6	18.0641	11	11.29
0.5	1	269	appFace://	InNacks	0	0	0	0
0.5	1	269	appFace://	OutNacks	60.8	0	38	0
0.5	1	269	appFace://	InSatisfiedInterests	16	0	10	0
0.5	1	269	appFace://	InTimedOutInterests	0	0	0	0
0.5	1	269	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	269	appFace://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	265.6	0	166	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	1	internal://	InInterests	0	0	0	0
0.5	2	1	internal://	OutInterests	0	0	0	0
0.5	2	1	internal://	InData	0	0	0	0
0.5	2	1	internal://	OutData	0	0	0	0
0.5	2	1	internal://	InNacks	0	0	0	0
0.5	2	1	internal://	OutNacks	0	0	0	0
0.5	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	2	1	internal://	OutSatisfiedInterests	17.6	0	11	0
0.5	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	256	netdev://[00:00:00:00:00:04]	InInterests	36.8	0.503125	23	0.314453
0.5	2	256	netdev://[00:00:00:00:00:04]	OutInterests	59.2	0.809375	37	0.505859
0.5	2	256	netdev://[00:00:00:00:00:04]	InData	43.2	44.3391	27	27.7119
0.5	2	256	netdev://[00:00:00:00:00:04]	OutData	36.8	37.7703	23	23.6064
0.5	2	256	netdev://[00:00:00:00:00:04]	InNacks	0	0	0	0
0.5	2	256	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
0.5	2	256	netdev://[00:00:00:00:00:04]	InSatisfiedInterests	36.8	0	23	0
0.5	2	256	netdev://[00:00:00:00:00:04]	InTimedOutInterests	0	0	0	0
0.5	2	256	netdev://[00:00:00:00:00:04]	OutSatisfiedInterests	35.2	0	22	0
0.5	2	256	netdev://[00:00:00:00:00:04]	OutTimedOutInterests	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:0d]	InInterests	16	0.21875	10	0.136719
0.5	2	257	netdev://[00:00:00:00:00:0d]	OutInterests	9.6	0.13125	6	0.0820312
0.5	2	257	netdev://[00:00:00:00:00:0d]	InData	9.6	9.85313	6	6.1582
0.5	2	257	netdev://[00:00:00:00:00:0d]	OutData	16	16.4219	10	10.2637
0.5	2	257	netdev://[00:00:00:00:00:0d]	InNacks	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:0d]	OutNacks	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:0d]	InSatisfiedInterests	16	0	10	0
0.5	2	257	netdev://[00:00:00:00:00:0d]	InTimedOutInterests	0	0	0	0
0.5	2	257	netdev://[00:00:00:00:00:0d]	OutSatisfiedInterests	8	0	5	0
0.5	2	257	netdev://[00:00:00:00:00:0d]	OutTimedOutInterests	0	0	0	0
0.5	2	258	internal://	InInterests	0	0	0	0
0.5	2	258	internal://	OutInterests	0	0	0	0
0.5	2	258	internal://	InData	0	0	0	0
0.5	2	258	internal://	OutData	0	0	0	0
0.5	2	258	internal://	InNacks	0	0	0	0
0.5	2	258	internal://	OutNacks	0	0	0	0
0.5	2	258	internal://	InSatisfiedInterests	17.6	0	11	0
0.5	2	258	internal://	InTimedOutInterests	0	0	0	0
0.5	2	258	internal://	OutSatisfiedInterests	0	0	0	0
0.5	2	258	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	259	appFace://	InInterests	0	0	0	0
0.5	2	259	appFace://	OutInterests	72	0.7	45	0.4375
0.5	2	259	appFace://	InData	72	73.8984	45	46.1865
0.5	2	259	appFace://	OutData	0	0	0	0
0.5	2	259	appFace://	InNacks	0	0	0	0
0.5	2	259	appFace://	OutNacks	0	0	0	0
0.5	2	259	appFace://	InSatisfiedInterests	0	0	0	0
0.5	2	259	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	259	appFace://	OutSatisfiedInterests	72	0	45	0
0.5	2	259	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	260	appFace://	InInterests	80	0.175	50	0.109375
0.5	2	260	appFace://	OutInterests	0	0	0	0
0.5	2	260	appFace://	InData	0	0	0	0
0.5	2	260	appFace://	OutData	17.6	18.0641	11	11.29
0.5	2	260	appFace://	InNacks	0	0	0	0
0.5	2	260	appFace://	OutNacks	57.6	0	36	0
0.5	2	260	appFace://	InSatisfiedInterests	12.8	0	8	0
0.5	2	260	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	260	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	260	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	261	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	2	261	appFace://	OutInterests	0	0	0	0
0.5	2	261	appFace://	InData	0	0	0	0
0.5	2	261	appFace://	OutData	16	16.4219	10	10.2637
0.5	2	261	appFace://	InNacks	0	0	0	0
0.5	2	261	appFace://	OutNacks	62.4	0	39	0
0.5	2	261	appFace://	InSatisfiedInterests	11.2	0	7	0
0.5	2	261	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	261	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	261	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	262	appFace://	InInterests	80	0.13125	50	0.0820312
0.5	2	262	appFace://	OutInterests	0	0	0	0
0.5	2	262	appFace://	InData	0	0	0	0
0.5	2	262	appFace://	OutData	19.2	19.7063	12	12.3164
0.5	2	262	appFace://	InNacks	0	0	0	0
0.5	2	262	appFace://	OutNacks	60.8	0	38	0
0.5	2	262	appFace://	InSatisfiedInterests	16	0	10	0
0.5	2	262	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	262	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	262	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	263	appFace://	InInterests	80	0.13125	50	0.0820312
0.5	2	263	appFace://	OutInterests	0	0	0	0
0.5	2	263	appFace://	InData	0	0	0	0
0.5	2	263	appFace://	OutData	24	24.6328	15	15.3955
0.5	2	263	appFace://	InNacks	0	0	0	0
0.5	2	263	appFace://	OutNacks	54.4	0	34	0
0.5	2	263	appFace://	InSatisfiedInterests	16	0	10	0
0.5	2	263	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	263	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	263	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	264	appFace://	InInterests	80	0.065625	50	0.0410156
0.5	2	264	appFace://	OutInterests	0	0	0	0
0.5	2	264	appFace://	InData	0	0	0	0
0.5	2	264	appFace://	OutData	12.8	13.1375	8	8.21094
0.5	2	264	appFace://	InNacks	0	0	0	0
0.5	2	264	appFace://	OutNacks	67.2	0	42	0
0.5	2	264	appFace://	InSatisfiedInterests	9.6	0	6	0
0.5	2	264	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	264	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	264	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	265	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	2	265	appFace://	OutInterests	0	0	0	0
0.5	2	265	appFace://	InData	0	0	0	0
0.5	2	265	appFace://	OutData	14.4	14.7797	9	9.2373
0.5	2	265	appFace://	InNacks	0	0	0	0
0.5	2	265	appFace://	OutNacks	60.8	0	38	0
0.5	2	265	appFace://	InSatisfiedInterests	12.8	0	8	0
0.5	2	265	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	265	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	265	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	266	appFace://	InInterests	80	0.04375	50	0.0273438
0.5	2	266	appFace://	OutInterests	0	0	0	0
0.5	2	266	appFace://	InData	0	0	0	0
0.5	2	266	appFace://	OutData	9.6	9.85313	6	6.1582
0.5	2	266	appFace://	InNacks	0	0	0	0
0.5	2	266	appFace://	OutNacks	68.8	0	43	0
0.5	2	266	appFace://	InSatisfiedInterests	3.2	0	2	0
0.5	2	266	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	266	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	266	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	267	appFace://	InInterests	80	0.065625	50	0.0410156
0.5	2	267	appFace://	OutInterests	0	0	0	0
0.5	2	267	appFace://	InData	0	0	0	0
0.5	2	267	appFace://	OutData	14.4	14.7797	9	9.2373
0.5	2	267	appFace://	InNacks	0	0	0	0
0.5	2	267	appFace://	OutNacks	64	0	40	0
0.5	2	267	appFace://	InSatisfiedInterests	14.4	0	9	0
0.5	2	267	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	267	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	267	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	268	appFace://	InInterests	80	0.109375	50	0.0683594
0.5	2	268	appFace://	OutInterests	0	0	0	0
0.5	2	268	appFace://	InData	0	0	0	0
0.5	2	268	appFace://	OutData	19.2	19.7063	12	12.3164
0.5	2	268	appFace://	InNacks	0	0	0	0
0.5	2	268	appFace://	OutNacks	56	0	35	0
0.5	2	268	appFace://	InSatisfiedInterests	14.4	0	9	0
0.5	2	268	appFace://	InTimedOutInterests	0	0	0	0
0.5	2	268	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	268	appFace://	OutTimedOutInterests	0	0	0	0
0.5	2	-1	all	SatisfiedInterests	209.6	0	131	0
0.5	2	-1	all	TimedOutInterests	0	0	0	0
0.5	3	1	internal://	InInterests	0	0	0	0
0.5	3	1	internal://	OutInterests	0	0	0	0
0.5	3	1	internal://	InData	0	0	0	0
0.5	3	1	internal://	OutData	0	0	0	0
0.5	3	1	internal://	InNacks	0	0	0	0
0.5	3	1	internal://	OutNacks	0	0	0	0
0.5	3	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	3	1	internal://	InTimedOutInterests	0	0	0	0
0.5	3	1	internal://	OutSatisfiedInterests	17.6	0	11	0
0.5	3	1	internal://	OutTimedOutInterests	0	0	0	0
